loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,lr
0.962362468,0.769160151,0.833596766,0.769160151,0.769160151,0.528059363,0.507299244,0.536200047,0.507299244,0.507299244,0.001
0.135916859,0.841211557,0.902675629,0.841211557,0.841211557,0.326399744,0.523722649,0.596439004,0.523722649,0.523722649,0.001
0.111234091,0.860027552,0.9166556,0.860027552,0.860027552,0.159830928,0.746350348,0.838576972,0.746350348,0.746350348,0.001
0.104342014,0.866911411,0.919731796,0.866911411,0.866911411,0.371582389,0.516423345,0.701497436,0.516423345,0.516423345,0.001
0.098693341,0.873795331,0.929498732,0.873795331,0.873795331,0.08604826,0.877737224,0.939459622,0.877737224,0.877737224,0.001
0.091831021,0.88067919,0.937151313,0.88067919,0.88067919,0.140632182,0.80109489,0.886110485,0.80109489,0.80109489,0.001
0.088861175,0.882514894,0.935240567,0.882514894,0.882514894,0.276643604,0.593065679,0.757558942,0.593065679,0.593065679,0.001
0.077303886,0.898577332,0.945960999,0.898577332,0.898577332,0.089727856,0.894160569,0.940210581,0.894160569,0.894160569,0.001
0.074074388,0.901789784,0.950455904,0.901789784,0.901789784,0.081822298,0.885036469,0.948192537,0.885036469,0.885036469,0.001
0.074222416,0.906838,0.946429551,0.906838,0.906838,0.066017635,0.910583913,0.955911279,0.910583913,0.910583913,0.001
0.068061106,0.913262963,0.952148199,0.913262963,0.913262963,0.056612544,0.914233565,0.970693052,0.914233565,0.914233565,0.001
0.067577094,0.907296896,0.959722996,0.907296896,0.907296896,0.056960121,0.925182462,0.960982919,0.925182462,0.925182462,0.001
0.061096527,0.920146883,0.961048603,0.920146883,0.920146883,0.120065801,0.826642334,0.898416281,0.826642334,0.826642334,0.001
0.065534659,0.909132659,0.958244383,0.909132659,0.909132659,0.045963969,0.936131358,0.969700694,0.936131358,0.936131358,0.001
0.061794687,0.918770075,0.959015906,0.918770075,0.918770075,0.052608203,0.932481766,0.962527871,0.932481766,0.932481766,0.001
0.061288994,0.917393327,0.96024847,0.917393327,0.917393327,0.047062073,0.947080314,0.968388736,0.947080314,0.947080314,0.001
0.055281036,0.930243254,0.964550972,0.930243254,0.930243254,0.13169834,0.808394134,0.914235234,0.808394134,0.808394134,0.001
0.057929724,0.920605779,0.966216981,0.920605779,0.920605779,0.048285909,0.937956214,0.968936503,0.937956214,0.937956214,0.001
0.05958163,0.921982586,0.961770415,0.921982586,0.921982586,0.054175213,0.927007318,0.970962822,0.927007318,0.927007318,0.001
0.058449659,0.924736142,0.961276531,0.924736142,0.924736142,0.037108094,0.954379559,0.979793966,0.954379559,0.954379559,0.0001
0.046727367,0.943552077,0.970973969,0.943552077,0.943552077,0.035081208,0.950729907,0.979770482,0.950729907,0.950729907,0.0001
0.048288368,0.940339625,0.969293594,0.940339625,0.940339625,0.044686358,0.936131358,0.978924692,0.936131358,0.936131358,0.0001
0.048387878,0.935291409,0.971782148,0.935291409,0.935291409,0.039083812,0.945255458,0.981387258,0.945255458,0.945255458,0.0001
0.043873854,0.940798521,0.97631669,0.940798521,0.940798521,0.039127074,0.943430662,0.979227722,0.943430662,0.943430662,0.0001
0.040553961,0.948141336,0.97525692,0.948141336,0.948141336,0.034647286,0.956204355,0.980419755,0.956204355,0.956204355,0.0001
0.040518954,0.94997704,0.974047184,0.94997704,0.94997704,0.034203008,0.958029211,0.980498075,0.958029211,0.958029211,0.0001
0.043084137,0.946305633,0.97475028,0.946305633,0.946305633,0.033013482,0.958029211,0.981385469,0.958029211,0.958029211,0.0001
0.043432184,0.94768244,0.97366792,0.94768244,0.94768244,0.036466978,0.952554762,0.977879107,0.952554762,0.952554762,0.0001
0.04281918,0.944928885,0.972061753,0.944928885,0.944928885,0.042168312,0.937956214,0.977277994,0.937956214,0.937956214,0.0001
0.049721174,0.938962817,0.968221545,0.938962817,0.938962817,0.044655759,0.936131358,0.977073252,0.936131358,0.936131358,0.0001
0.0445044,0.942634225,0.970878303,0.942634225,0.942634225,0.035214305,0.958029211,0.97899127,0.958029211,0.958029211,0.0001
0.037999224,0.954107404,0.977079272,0.954107404,0.954107404,0.037071444,0.952554762,0.978969634,0.952554762,0.952554762,0.0001
0.039181486,0.949518144,0.978821516,0.949518144,0.949518144,0.035187431,0.954379559,0.980326653,0.954379559,0.954379559,1.00E-05
0.039606605,0.946764588,0.975781858,0.946764588,0.946764588,0.034275252,0.958029211,0.979986966,0.958029211,0.958029211,1.00E-05
0.038425136,0.953189552,0.977008462,0.953189552,0.953189552,0.034231931,0.958029211,0.979750454,0.958029211,0.958029211,1.00E-05
0.042720348,0.945846736,0.972831905,0.945846736,0.945846736,0.034236223,0.958029211,0.979890406,0.958029211,0.958029211,1.00E-05
0.042318646,0.945387781,0.976372004,0.945387781,0.945387781,0.033814274,0.961678803,0.979990244,0.961678803,0.961678803,1.00E-05
0.039729226,0.952730596,0.975366652,0.952730596,0.952730596,0.033924997,0.961678803,0.980080128,0.961678803,0.961678803,1.00E-06
0.041261587,0.947223485,0.97552824,0.947223485,0.947223485,0.033843014,0.959854007,0.979960322,0.959854007,0.959854007,1.00E-06
0.039443497,0.953648448,0.975726306,0.953648448,0.953648448,0.033906925,0.959854007,0.97969389,0.959854007,0.959854007,1.00E-06
0.042175874,0.946305633,0.974569619,0.946305633,0.946305633,0.0338553,0.959854007,0.979650676,0.959854007,0.959854007,1.00E-06
0.04257106,0.94768244,0.975629568,0.94768244,0.94768244,0.033866569,0.959854007,0.979760468,0.959854007,0.959854007,1.00E-06
